gsis_id,name,position,team,sleeper_id,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts,trending_add
00-0039325,Carson Steele,RB,PHI,11582,23.9,2,,DEV,,2024,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CHI,41.5,0,10.0,1.052,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs CHI (DvP 10, +5%) · Low confidence",,,,,,,,0
00-0039266,Kendall Milton,RB,CIN,11649,24.6,2,,DEV,,2024,0.0,2.0,0.0,2.0,0.06,0.2,0.0,0.0,prior,prior season only,0.2,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,PIT,42.5,0,9.0,1.06,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 2) · vs PIT (DvP 9, +6%) · Low confidence",0.06,2.0,0.0,,,0.2,0.2,0
00-0035924,Jonathan Ward,RB,BAL,7087,29.0,6,,DEV,,2020,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,DAL,52.5,0,8.0,1.068,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs DAL (DvP 8, +7%) · Low confidence",,,,,,,,0
00-0036020,Salvon Ahmed,RB,CHI,6918,27.7,6,,DEV,,2020,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,PHI,41.5,1,19.0,0.985,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs PHI (DvP 19, -2%) · Low confidence",,,,,,,,0
00-0039405,Jawhar Jordan,RB,HOU,11588,27.1,2,,DEV,205.0,2024,0.0,12.5,1.75,10.75,0.3,7.425,-4.8,-0.11,prior,prior season only,5.3,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,IND,42.5,0,2.0,1.112,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 12) · vs IND (DvP 2, +11%) · Low confidence",0.35,15.0,2.0,18.5,0.44,13.3,7.8,0
00-0039703,Cody Schrader,RB,DEN,11644,27.0,2,,DEV,,2024,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,LA,44.5,1,23.0,0.955,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs LA (DvP 23, -5%) · Low confidence",,,,,,,,0
00-0039652,Jabari Small,RB,DET,12356,24.6,2,,DEV,,2024,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,NYJ,47.5,1,29.0,0.91,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs NYJ (DvP 29, -9%) · Low confidence",,,,,,,,0
00-0040021,Phil Mafah,RB,NYG,12738,23.9,1,,DEV,239.0,2025,0.0,7.0,2.0,5.0,0.18,10.9,0.0,0.0,prior,prior season only,10.9,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,TEN,38.5,1,13.0,1.03,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 7) · vs TEN (DvP 13, +3%) · Low confidence",0.18,7.0,0.0,,,10.9,10.9,0
00-0040039,Amar Johnson,RB,LAC,12928,23.6,1,,DEV,,2025,0.0,3.0,1.0,2.0,0.08,0.8,0.0,0.0,prior,prior season only,0.8,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,BUF,50.5,0,4.0,1.098,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 3) · vs BUF (DvP 4, +10%) · Low confidence",0.08,3.0,0.0,,,0.8,0.8,0
00-0040067,Jacardia Wright,RB,SEA,13047,26.0,1,,DEV,,2025,0.0,5.0,0.0,5.0,0.09,2.0,0.0,0.0,prior,prior season only,2.0,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,WAS,40.5,0,32.0,0.888,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 5) · vs WAS (DvP 32, -11%) · Low confidence",0.09,5.0,0.0,,,2.0,2.0,0
