season,week,gsis_id,source,pulled_at,team,position,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share
2026,1,00-0040667,sleeper,2026-09-12T17:31:48Z,GB,WR,,,,,0.8,3.13,0.02,5.35,3.14,41.59,0.22,9.03,7.46,5.89,6.15,0.032,0.176
2026,1,00-0040668,sleeper,2026-09-12T17:31:48Z,CLE,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040669,sleeper,2026-09-12T17:31:48Z,DET,WR,,,,,0.05,0.19,0.0,2.92,1.72,22.46,0.19,5.13,4.27,3.4,2.97,0.002,0.086
2026,1,00-0040673,sleeper,2026-09-12T17:31:48Z,SEA,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040676,sleeper,2026-09-12T17:31:48Z,TEN,QB,34.77,236.21,1.58,0.18,2.7,10.51,0.14,,,,,17.29,17.29,17.29,2.7,0.122,
2026,1,00-0040691,sleeper,2026-09-12T17:31:48Z,NYG,QB,32.13,253.23,1.57,0.52,5.65,30.49,0.49,,,,,21.71,21.71,21.71,5.65,0.206,
2026,1,00-0040692,sleeper,2026-09-12T17:31:48Z,MIA,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040697,sleeper,2026-09-12T17:31:48Z,DET,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040704,sleeper,2026-09-12T17:31:48Z,CLE,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040705,sleeper,2026-09-12T17:31:48Z,TEN,WR,,,,,0.41,1.53,0.01,1.76,1.1,12.49,0.1,3.16,2.61,2.06,2.17,0.018,0.053
2026,1,00-0040715,sleeper,2026-09-12T17:31:48Z,NYG,RB,,,,,11.78,56.18,0.58,3.4,2.96,24.49,0.14,15.33,13.85,12.37,15.18,0.43,0.109
2026,1,00-0040718,sleeper,2026-09-12T17:31:48Z,JAX,WR,,,,,0.14,0.55,0.01,2.21,1.29,14.8,0.12,3.58,2.93,2.29,2.35,0.005,0.07
2026,1,00-0040719,sleeper,2026-09-12T17:31:48Z,JAX,RB,,,,,11.74,41.49,0.46,2.43,1.79,11.35,0.13,10.63,9.73,8.83,14.17,0.412,0.077
2026,1,00-0040727,sleeper,2026-09-12T17:31:48Z,LAC,WR,,,,,0.13,0.67,0.0,3.51,2.3,28.5,0.11,5.89,4.74,3.59,3.64,0.005,0.114
2026,1,00-0040729,sleeper,2026-09-12T17:31:48Z,LV,WR,,,,,0.09,0.42,0.0,2.95,2.02,25.02,0.17,5.62,4.61,3.6,3.04,0.003,0.108
