gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0039244,Chris Collier,LV,RB,4,7.0,3.0,ir,0.02,Undisclosed,,1263.4,3,0,0.026,Ashton Jeanty (healthy); Mike Washington Jr. (healthy); Dylan Laube (healthy)
00-0039338,Brock Bowers,LV,TE,1,1.0,0.0,questionable,0.72,Knee - Meniscus,,17.5,0,0,0.0,nobody
00-0039066,Michael Mayer,LV,TE,2,2.0,0.0,healthy,0.97,,,43.8,1,0,0.065,Brock Bowers (questionable)
00-0034365,Ian Thomas,LV,TE,3,3.0,0.0,healthy,0.97,,,229.4,2,0,0.068,Brock Bowers (questionable); Michael Mayer (healthy)
00-0040488,Carter Runyon,LV,TE,4,5.0,1.0,ir,0.02,Undisclosed,,573.4,3,0,0.068,Brock Bowers (questionable); Michael Mayer (healthy); Ian Thomas (healthy)
00-0038563,Tre Tucker,LV,WR,1,1.0,0.0,healthy,0.97,,,16.6,0,0,0.0,nobody
00-0037291,Jalen Nailor,LV,WR,2,2.0,0.0,healthy,0.97,,,74.7,1,0,0.005,Tre Tucker (healthy)
00-0040729,Jack Bech,LV,WR,3,3.0,0.0,healthy,0.97,,,35.3,2,0,0.009,Tre Tucker (healthy); Jalen Nailor (healthy)
00-0040894,Malik Benson,LV,WR,4,4.0,0.0,healthy,0.97,,,74.6,3,0,0.012,Tre Tucker (healthy); Jalen Nailor (healthy); Jack Bech (healthy)
00-0037093,Dareke Young,LV,WR,5,5.0,0.0,questionable,0.72,Hamstring,,17.7,4,0,0.013,Tre Tucker (healthy); Jalen Nailor (healthy); Jack Bech (healthy); Malik Benson (healthy)
00-0040581,Dont'e Thornton Jr.,LV,WR,6,10.0,4.0,ir,0.02,Undisclosed,,563.7,5,0,0.015,Tre Tucker (healthy); Jalen Nailor (healthy); Jack Bech (healthy); Malik Benson (healthy); Dareke Young (questionable)
00-0038590,Justin Shorter,LV,WR,7,9.0,2.0,ir,0.02,Undisclosed,,3423.8,6,1,0.015,Tre Tucker (healthy); Jalen Nailor (healthy); Jack Bech (healthy); Malik Benson (healthy); Dareke Young (questionable); Dont'e Thornton Jr. (ir)
00-0041005,Corey Rucker,LV,WR,8,11.0,3.0,ir,0.02,Undisclosed,,2538.4,7,2,0.015,Tre Tucker (healthy); Jalen Nailor (healthy); Jack Bech (healthy); Malik Benson (healthy); Dareke Young (questionable); Dont'e Thornton Jr. (ir); Justin Shorter (ir)
00-0038128,Malik Willis,MIA,QB,1,1.0,0.0,healthy,0.97,,,49.0,0,0,0.0,nobody
00-0040014,Kyle McCord,MIA,QB,2,3.0,1.0,healthy,0.97,,,546.1,1,0,0.0,Malik Willis (healthy)
00-0040398,Brady Cook,MIA,QB,3,2.0,1.0,healthy,0.97,,,91.6,2,0,0.0,Malik Willis (healthy); Kyle McCord (healthy)
00-0039040,De'Von Achane,MIA,RB,1,1.0,0.0,healthy,0.97,,,74.2,0,0,0.0,nobody
00-0039874,Jaylen Wright,MIA,RB,2,2.0,0.0,questionable,0.72,Neck,,14.3,1,0,0.017,De'Von Achane (healthy)
00-0040198,Ollie Gordon II,MIA,RB,3,3.0,0.0,healthy,0.97,,,25.4,2,0,0.037,De'Von Achane (healthy); Jaylen Wright (questionable)
00-0037252,Greg Dulcich,MIA,TE,1,1.0,0.0,healthy,0.97,,,59.1,0,0,0.0,nobody
00-0041524,Will Kacmarek,MIA,TE,2,2.0,0.0,healthy,0.97,,,229.6,1,0,0.004,Greg Dulcich (healthy)
