season,week,snapshot_dt,team,position,rank,gsis_id,name,prev_rank
2026,1,2026-09-12T11:36:06Z,IND,TE,3,00-0037292,Drew Ogletree,3.0
2026,1,2026-09-12T11:36:06Z,IND,TE,4,00-0038394,Will Mallory,4.0
2026,1,2026-09-12T11:36:06Z,IND,TE,5,00-0040853,Carson Towt,5.0
2026,1,2026-09-12T11:36:06Z,IND,WR,1,00-0037664,Alec Pierce,1.0
2026,1,2026-09-12T11:36:06Z,IND,WR,2,00-0038997,Josh Downs,2.0
2026,1,2026-09-12T11:36:06Z,IND,WR,3,00-0030279,Keenan Allen,3.0
2026,1,2026-09-12T11:36:06Z,IND,WR,4,00-0035021,Ashton Dulin,4.0
2026,1,2026-09-12T11:36:06Z,IND,WR,5,00-0032951,Laquon Treadwell,5.0
2026,1,2026-09-12T11:36:06Z,IND,WR,6,00-0041132,Deion Burks,6.0
2026,1,2026-09-12T11:36:06Z,IND,WR,7,00-0035045,D.J. Montgomery,8.0
2026,1,2026-09-09T12:06:21Z,IND,WR,8,00-0035045,D.J. Montgomery,8.0
2026,1,2026-09-12T11:36:06Z,JAX,QB,1,00-0036971,Trevor Lawrence,1.0
2026,1,2026-09-12T11:36:06Z,JAX,QB,2,00-0040234,Quinn Ewers,2.0
2026,1,2026-09-09T12:06:21Z,JAX,QB,3,00-0039534,Carter Bradley,3.0
2026,1,2026-09-12T11:36:06Z,JAX,RB,1,00-0040719,Bhayshul Tuten,1.0
2026,1,2026-09-12T11:36:06Z,JAX,RB,2,00-0038611,Chris Rodriguez Jr.,2.0
2026,1,2026-09-12T11:36:06Z,JAX,RB,3,00-0040238,LeQuint Allen Jr.,3.0
2026,1,2026-09-12T11:36:06Z,JAX,RB,4,00-0032104,Ameer Abdullah,4.0
2026,1,2026-09-12T11:36:06Z,JAX,TE,1,00-0038935,Brenton Strange,1.0
2026,1,2026-09-12T11:36:06Z,JAX,TE,2,00-0041503,Nate Boerkircher,2.0
2026,1,2026-09-12T11:36:06Z,JAX,TE,3,00-0036590,Quintin Morris,3.0
2026,1,2026-09-12T11:36:06Z,JAX,TE,4,00-0041084,Tanner Koziol,4.0
2026,1,2026-09-12T11:36:06Z,JAX,WR,1,00-0039893,Brian Thomas Jr.,1.0
2026,1,2026-09-12T11:36:06Z,JAX,WR,2,00-0038606,Parker Washington,2.0
2026,1,2026-09-12T11:36:06Z,JAX,WR,3,00-0034960,Jakobi Meyers,3.0
2026,1,2026-09-12T11:36:06Z,JAX,WR,4,00-0040718,Travis Hunter,4.0
2026,1,2026-09-12T11:36:06Z,JAX,WR,5,00-0041100,Josh Cameron,5.0
2026,1,2026-09-12T11:36:06Z,JAX,WR,6,00-0041106,CJ Williams,6.0
2026,1,2026-09-12T11:36:06Z,KC,QB,1,00-0033873,Patrick Mahomes,1.0
2026,1,2026-09-12T11:36:06Z,KC,QB,2,00-0036945,Justin Fields,2.0
2026,1,2026-09-12T11:36:06Z,KC,QB,3,00-0040906,Garrett Nussmeier,3.0
2026,1,2026-09-12T11:36:06Z,KC,RB,1,00-0038134,Kenneth Walker III,1.0
2026,1,2026-09-12T11:36:06Z,KC,RB,2,00-0041013,Emmett Johnson,2.0
2026,1,2026-09-12T11:36:06Z,KC,RB,3,00-0040078,Brashard Smith,3.0
2026,1,2026-09-12T11:36:06Z,KC,TE,1,00-0030506,Travis Kelce,1.0
2026,1,2026-09-12T11:36:06Z,KC,TE,2,00-0036637,Noah Gray,2.0
2026,1,2026-09-12T11:36:06Z,KC,TE,3,00-0039824,Jared Wiley,3.0
2026,1,2026-09-12T11:36:06Z,KC,TE,4,00-0040081,Jake Briningstool,4.0
2026,1,2026-09-12T11:36:06Z,KC,TE,5,00-0040955,John Michael Gyllenborg,5.0
2026,1,2026-09-12T11:36:06Z,KC,WR,1,00-0039067,Rashee Rice,1.0
2026,1,2026-09-12T11:36:06Z,KC,WR,2,00-0039894,Xavier Worthy,2.0
2026,1,2026-09-12T11:36:06Z,KC,WR,3,00-0038104,Tyquan Thornton,3.0
2026,1,2026-09-12T11:36:06Z,KC,WR,4,00-0040890,Cyrus Allen,4.0
2026,1,2026-09-12T11:36:06Z,KC,WR,5,00-0040646,Jalen Royals,5.0
2026,1,2026-09-12T11:36:06Z,KC,WR,6,00-0038519,Nikko Remigio,6.0
2026,1,2026-09-12T11:36:06Z,KC,WR,7,00-0040953,Jeff Caldwell,7.0
2026,1,2026-09-12T11:36:06Z,KC,WR,8,00-0040120,Jimmy Holiday,8.0
2026,1,2026-09-12T11:36:06Z,LA,QB,1,00-0026498,Matthew Stafford,1.0
2026,1,2026-09-12T11:36:06Z,LA,QB,2,00-0039107,Stetson Bennett IV,2.0
2026,1,2026-09-12T11:36:06Z,LA,QB,3,00-0041568,Ty Simpson,3.0
2026,1,2026-09-12T11:36:06Z,LA,QB,4,00-0041414,Matthew Caldwell,4.0
2026,1,2026-09-12T11:36:06Z,LA,RB,1,00-0037840,Kyren Williams,1.0
2026,1,2026-09-12T11:36:06Z,LA,RB,2,00-0039738,Blake Corum,2.0
2026,1,2026-09-12T11:36:06Z,LA,RB,3,00-0037557,Ronnie Rivers,3.0
2026,1,2026-09-12T11:36:06Z,LA,TE,1,00-0036244,Colby Parkinson,1.0
2026,1,2026-09-12T11:36:06Z,LA,TE,2,00-0033110,Tyler Higbee,2.0
2026,1,2026-09-12T11:36:06Z,LA,TE,3,00-0040737,Terrance Ferguson,3.0
2026,1,2026-09-12T11:36:06Z,LA,TE,4,00-0039074,Davis Allen,4.0
